listing_id,date,num_reviews,reviewers
33573182,2025-08-01,2,"555114068,103251391"
33573182,2026-03-01,1,679230494
33576344,2025-09-01,2,"234588281,199555687"
33576344,2025-11-01,1,440551493
33576344,2026-03-01,4,"53439008,224744609,534686213,393737201"
33576344,2025-10-01,1,83263952
33576344,2025-06-01,1,521808410
28668934,2025-07-01,1,106540145
17880730,2026-05-01,1,242579899
17880730,2026-03-01,2,"166907052,23355843"
17880730,2026-01-01,2,"125926779,110307047"
17880730,2025-11-01,3,"541488069,557489377,152746867"
17880730,2025-09-01,5,"362018864,134812899,711652457,11932464,134146471"
17880730,2025-07-01,4,"701956670,307139024,697312005,26671799"
17880730,2026-04-01,1,323049904
17880730,2026-02-01,4,"669964043,318227590,201827588,517178739"
17880730,2025-12-01,4,"541488069,140304868,725455523,176096865"
17880730,2025-10-01,2,"457283161,346236521"
17880730,2025-08-01,3,"11846424,450012877,278646455"
17880730,2025-06-01,2,"346923908,687259023"
30280433,2026-03-01,2,"711213032,753492567"
30280433,2025-11-01,1,548596763
30280433,2025-09-01,2,"539305296,64912286"
30280433,2026-01-01,2,"729800895,196974488"
30280433,2026-04-01,2,"691718694,568244649"
30280433,2026-02-01,2,"387061975,651174357"
30280433,2025-12-01,1,578431751
30280433,2025-10-01,2,"499451492,713340017"
30280433,2025-08-01,3,"420907007,390254630,715229730"
30280433,2025-06-01,4,"400156429,548923031,251937442,251937442"
48427619,2026-05-01,1,241413157
48427619,2025-11-01,1,130474683
48427619,2025-09-01,1,717626699
48427619,2025-07-01,1,678194156
48427619,2025-12-01,3,"696264842,730562256,155737453"
48427619,2025-08-01,3,"709023441,325631596,65083573"
48427619,2025-06-01,1,561259772
52698075,2026-03-01,3,"393200154,666407487,486060215"
52698075,2026-01-01,4,"712129655,136178091,347887155,716906878"
52698075,2025-11-01,1,344968722
52698075,2025-09-01,1,532637530
52698075,2025-07-01,2,"416439799,447572759"
52698075,2026-04-01,5,"412951549,368014327,486264625,119842589,172926583"
52698075,2026-02-01,1,28770899
52698075,2025-12-01,7,"542832352,142463675,385570826,348567794,359052528,145667610,716906878"
52698075,2025-10-01,5,"68355657,585666116,716732374,72881573,658460562"
52698075,2025-06-01,4,"293250764,316229216,433834630,106180035"
45530419,2025-12-01,1,503060834
45530419,2025-11-01,1,189747769
45530419,2025-07-01,1,596094423
27029424,2026-05-01,1,64905286
27029424,2026-03-01,3,"50564955,66813118,94266635"
27029424,2025-11-01,2,"82950494,92323480"
27029424,2025-09-01,1,255480499
27029424,2026-02-01,2,"494442124,295454127"
27029424,2025-12-01,1,663377686
27029424,2025-10-01,3,"716561545,214450930,549152873"
27029424,2025-08-01,2,"188873817,177727526"
27029424,2025-06-01,1,118283068
38024492,2025-07-01,1,8628625
38024492,2025-12-01,1,76955466
47953127,2025-09-01,1,194176941
47953127,2025-08-01,2,"400754289,39344923"
47953127,2025-07-01,1,580019799
47953127,2025-06-01,1,189438045
47953127,2026-04-01,4,"48240779,57403857,450073213,24661842"
31740082,2025-11-01,1,726051850
31740082,2025-10-01,1,339195002
31740082,2025-09-01,2,"271869963,473844651"
31740082,2025-07-01,1,668127548
