listing_id,date,num_reviews,reviewers,city
33573182,2025-08-01,2,"555114068,103251391",raleigh
33573182,2026-03-01,1,679230494,raleigh
33576344,2025-09-01,2,"234588281,199555687",raleigh
33576344,2025-11-01,1,440551493,raleigh
33576344,2026-03-01,4,"53439008,224744609,534686213,393737201",raleigh
33576344,2025-10-01,1,83263952,raleigh
33576344,2025-06-01,1,521808410,raleigh
28668934,2025-07-01,1,106540145,raleigh
17880730,2026-05-01,1,242579899,raleigh
17880730,2026-03-01,2,"166907052,23355843",raleigh
17880730,2026-01-01,2,"125926779,110307047",raleigh
17880730,2025-11-01,3,"541488069,557489377,152746867",raleigh
17880730,2025-09-01,5,"362018864,134812899,711652457,11932464,134146471",raleigh
17880730,2025-07-01,4,"701956670,307139024,697312005,26671799",raleigh
17880730,2026-04-01,1,323049904,raleigh
17880730,2026-02-01,4,"669964043,318227590,201827588,517178739",raleigh
17880730,2025-12-01,4,"541488069,140304868,725455523,176096865",raleigh
17880730,2025-10-01,2,"457283161,346236521",raleigh
17880730,2025-08-01,3,"11846424,450012877,278646455",raleigh
17880730,2025-06-01,2,"346923908,687259023",raleigh
30280433,2026-03-01,2,"711213032,753492567",raleigh
30280433,2025-11-01,1,548596763,raleigh
30280433,2025-09-01,2,"539305296,64912286",raleigh
30280433,2026-01-01,2,"729800895,196974488",raleigh
30280433,2026-04-01,2,"691718694,568244649",raleigh
30280433,2026-02-01,2,"387061975,651174357",raleigh
30280433,2025-12-01,1,578431751,raleigh
30280433,2025-10-01,2,"499451492,713340017",raleigh
30280433,2025-08-01,3,"420907007,390254630,715229730",raleigh
30280433,2025-06-01,4,"400156429,548923031,251937442,251937442",raleigh
48427619,2026-05-01,1,241413157,raleigh
48427619,2025-11-01,1,130474683,raleigh
48427619,2025-09-01,1,717626699,raleigh
48427619,2025-07-01,1,678194156,raleigh
48427619,2025-12-01,3,"696264842,730562256,155737453",raleigh
48427619,2025-08-01,3,"709023441,325631596,65083573",raleigh
48427619,2025-06-01,1,561259772,raleigh
52698075,2026-03-01,3,"393200154,666407487,486060215",raleigh
52698075,2026-01-01,4,"712129655,136178091,347887155,716906878",raleigh
52698075,2025-11-01,1,344968722,raleigh
52698075,2025-09-01,1,532637530,raleigh
52698075,2025-07-01,2,"416439799,447572759",raleigh
52698075,2026-04-01,5,"412951549,368014327,486264625,119842589,172926583",raleigh
52698075,2026-02-01,1,28770899,raleigh
52698075,2025-12-01,7,"542832352,142463675,385570826,348567794,359052528,145667610,716906878",raleigh
52698075,2025-10-01,5,"68355657,585666116,716732374,72881573,658460562",raleigh
52698075,2025-06-01,4,"293250764,316229216,433834630,106180035",raleigh
45530419,2025-12-01,1,503060834,raleigh
45530419,2025-11-01,1,189747769,raleigh
45530419,2025-07-01,1,596094423,raleigh
27029424,2026-05-01,1,64905286,raleigh
27029424,2026-03-01,3,"50564955,66813118,94266635",raleigh
27029424,2025-11-01,2,"82950494,92323480",raleigh
27029424,2025-09-01,1,255480499,raleigh
27029424,2026-02-01,2,"494442124,295454127",raleigh
27029424,2025-12-01,1,663377686,raleigh
27029424,2025-10-01,3,"716561545,214450930,549152873",raleigh
27029424,2025-08-01,2,"188873817,177727526",raleigh
27029424,2025-06-01,1,118283068,raleigh
38024492,2025-07-01,1,8628625,raleigh
38024492,2025-12-01,1,76955466,raleigh
47953127,2025-09-01,1,194176941,raleigh
47953127,2025-08-01,2,"400754289,39344923",raleigh
47953127,2025-07-01,1,580019799,raleigh
47953127,2025-06-01,1,189438045,raleigh
47953127,2026-04-01,4,"48240779,57403857,450073213,24661842",raleigh
31740082,2025-11-01,1,726051850,raleigh
31740082,2025-10-01,1,339195002,raleigh
31740082,2025-09-01,2,"271869963,473844651",raleigh
31740082,2025-07-01,1,668127548,raleigh
1767578,2025-11-01,1,350657311,raleigh
1767578,2025-10-01,1,350657311,raleigh
41209180,2025-11-01,1,454498172,raleigh
41209180,2025-07-01,1,660924871,raleigh
41209180,2026-03-01,1,460250427,raleigh
41209180,2025-10-01,3,"716491289,447238411,713526177",raleigh
41209180,2025-08-01,1,14022590,raleigh
41209180,2025-06-01,2,"480383303,544573536",raleigh
41209180,2026-04-01,1,141693187,raleigh
48374332,2026-03-01,1,48250791,raleigh
48374332,2025-07-01,4,"106312271,189377548,64875205,388698155",raleigh
48374332,2025-09-01,2,"81733050,294785897",raleigh
48374332,2025-11-01,3,"346401431,332611369,45156068",raleigh
48374332,2026-01-01,1,348589622,raleigh
48374332,2026-04-01,8,"482486329,260196553,158701351,11971329,60410891,79738456,89611586,756022299",raleigh
48374332,2026-02-01,4,"277997749,17877604,245753540,20991301",raleigh
48374332,2025-06-01,5,"106312271,95918729,453262383,465220245,567066288",raleigh
48374332,2025-10-01,1,409857085,raleigh
48374332,2025-12-01,2,"265000910,111033593",raleigh
45916385,2026-03-01,3,"302470198,302291841,27566192",raleigh
45916385,2025-07-01,6,"191216664,1307400,320559635,493740683,109076618,574319674",raleigh
45916385,2025-09-01,2,"331702714,36135216",raleigh
45916385,2025-11-01,1,288740513,raleigh
45916385,2026-01-01,1,69503458,raleigh
45916385,2026-04-01,1,342703326,raleigh
45916385,2026-02-01,1,108546007,raleigh
45916385,2025-06-01,4,"369737258,572073175,85441691,414725585",raleigh
45916385,2025-08-01,2,"111455118,77436835",raleigh
